V,y,exp_act,exp_inact,fit_act,fit_inact
-70.0,0.000667645,0.000667645,,,
-60.0,0.050004781,0.050004781,,,
-50.0,0.817481051,0.817481051,,,
-40.0,1.0,1.0,,,
-110.0,0.977572198,,0.977572198,,
-100.0,0.909481726,,0.909481726,,
-90.0,0.772906553,,0.772906553,,
-80.0,0.577176005,,0.577176005,,
-70.0,0.32378955,,0.32378955,,
-60.0,0.112933481,,0.112933481,,
-50.0,0.008118366,,0.008118366,,
-40.0,0.001035291,,0.001035291,,
-122.0,0.0001869942339954673,,,0.0001869942339954673,
-121.82985821517931,0.00018699423399972702,,,0.00018699423399972702,
-121.65971643035863,0.00018699423400432187,,,0.00018699423400432187,
-121.48957464553794,0.0001869942340092782,,,0.0001869942340092782,
-121.31943286071727,0.00018699423401462442,,,0.00018699423401462442,
-121.14929107589658,0.00018699423402039123,,,0.00018699423402039123,
-120.9791492910759,0.00018699423402661173,,,0.00018699423402661173,
-120.80900750625521,0.0001869942340333216,,,0.0001869942340333216,
-120.63886572143453,0.00018699423404055932,,,0.00018699423404055932,
-120.46872393661384,0.00018699423404836644,,,0.00018699423404836644,
-120.29858215179316,0.00018699423405678774,,,0.00018699423405678774,
-120.12844036697248,0.00018699423406587156,,,0.00018699423406587156,
-119.9582985821518,0.00018699423407566999,,,0.00018699423407566999,
-119.78815679733111,0.00018699423408623928,,,0.00018699423408623928,
-119.61801501251043,0.00018699423409764001,,,0.00018699423409764001,
-119.44787322768974,0.00018699423410993769,,,0.00018699423410993769,
-119.27773144286905,0.0001869942341232028,,,0.0001869942341232028,
-119.10758965804837,0.00018699423413751147,,,0.00018699423413751147,
-118.93744787322768,0.00018699423415294582,,,0.00018699423415294582,
-118.76730608840701,0.0001869942341695944,,,0.0001869942341695944,
-118.59716430358633,0.00018699423418755268,,,0.00018699423418755268,
-118.42702251876564,0.00018699423420692377,,,0.00018699423420692377,
-118.25688073394495,0.0001869942342278188,,,0.0001869942342278188,
-118.08673894912427,0.00018699423425035762,,,0.00018699423425035762,
-117.91659716430358,0.00018699423427466955,,,0.00018699423427466955,
-117.7464553794829,0.00018699423430089412,,,0.00018699423430089412,
-117.57631359466222,0.00018699423432918177,,,0.00018699423432918177,
-117.40617180984154,0.00018699423435969482,,,0.00018699423435969482,
-117.23603002502085,0.00018699423439260833,,,0.00018699423439260833,
-117.06588824020017,0.00018699423442811115,,,0.00018699423442811115,
-116.89574645537948,0.00018699423446640696,,,0.00018699423446640696,
-116.7256046705588,0.0001869942345077155,,,0.0001869942345077155,
-116.55546288573811,0.0001869942345522738,,,0.0001869942345522738,
-116.38532110091744,0.00018699423460033748,,,0.00018699423460033748,
-116.21517931609675,0.00018699423465218235,,,0.00018699423465218235,
-116.04503753127607,0.00018699423470810585,,,0.00018699423470810585,
-115.87489574645538,0.00018699423476842885,,,0.00018699423476842885,
-115.7047539616347,0.00018699423483349746,,,0.00018699423483349746,
-115.53461217681401,0.00018699423490368502,,,0.00018699423490368502,
-115.36447039199332,0.00018699423497939424,,,0.00018699423497939424,
-115.19432860717265,0.0001869942350610595,,,0.0001869942350610595,
-115.02418682235196,0.00018699423514914934,,,0.00018699423514914934,
-114.85404503753128,0.00018699423524416923,,,0.00018699423524416923,
-114.68390325271059,0.00018699423534666434,,,0.00018699423534666434,
-114.5137614678899,0.0001869942354572227,,,0.0001869942354572227,
-114.34361968306922,0.00018699423557647874,,,0.00018699423557647874,
-114.17347789824854,0.00018699423570511662,,,0.00018699423570511662,
-114.00333611342785,0.00018699423584387444,,,0.00018699423584387444,
-113.83319432860718,0.00018699423599354836,,,0.00018699423599354836,
-113.66305254378649,0.0001869942361549971,,,0.0001869942361549971,
-113.4929107589658,0.000186994236329147,,,0.000186994236329147,
-113.32276897414512,0.00018699423651699732,,,0.00018699423651699732,
-113.15262718932443,0.00018699423671962579,,,0.00018699423671962579,
-112.98248540450375,0.00018699423693819504,,,0.00018699423693819504,
-112.81234361968308,0.00018699423717395913,,,0.00018699423717395913,
-112.64220183486239,0.0001869942374282708,,,0.0001869942374282708,
-112.4720600500417,0.00018699423770258914,,,0.00018699423770258914,
-112.30191826522102,0.00018699423799848814,,,0.00018699423799848814,
-112.13177648040033,0.00018699423831766547,,,0.00018699423831766547,
-111.96163469557965,0.00018699423866195248,,,0.00018699423866195248,
-111.79149291075896,0.00018699423903332458,,,0.00018699423903332458,
-111.62135112593828,0.0001869942394339125,,,0.0001869942394339125,
-111.4512093411176,0.00018699423986601467,,,0.00018699423986601467,
-111.28106755629692,0.0001869942403321103,,,0.0001869942403321103,
-111.11092577147623,0.0001869942408348737,,,0.0001869942408348737,
-110.94078398665555,0.00018699424137718945,,,0.00018699424137718945,
-110.77064220183486,0.00018699424196216922,,,0.00018699424196216922,
-110.60050041701417,0.0001869942425931693,,,0.0001869942425931693,
-110.43035863219349,0.0001869942432738102,,,0.0001869942432738102,
-110.26021684737282,0.00018699424400799708,,,0.00018699424400799708,
-110.09007506255213,0.00018699424479994245,,,0.00018699424479994245,
-109.91993327773145,0.00018699424565419014,,,0.00018699424565419014,
-109.74979149291076,0.0001869942465756415,,,0.0001869942465756415,
-109.57964970809007,0.0001869942475695834,,,0.0001869942475695834,
-109.40950792326939,0.00018699424864171876,,,0.00018699424864171876,
