curve,A_lo,A_hi,V_half,k,r2,rmse,method
fit_act,0.00018699423394132048,0.9999999999999999,-53.369533098969406,2.246725164507543,0.9999914946535272,0.0013028450693243164,curve_fit
fit_inact,6.325482148427839e-22,0.9851804823139856,-77.22319187089772,8.875583636526187,0.9974079035421205,0.019180355379980453,curve_fit
